from,to,value,gas,gas_used,input,tx_hash,fuzz_string,victim_balance_before_tx,victim_balance_after_tx,attacker_balance_before_tx,attacker_balance_after_tx
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0xC619Af160D6a6B50a83d58190BFea63670EB8b44,0,3000000,225983,0x8f088f9200000000000000000000000095b9197d78fb9b10291680d7cc20fadc4714631e,0xd10e648f1868834ffcd71427e7e04f81c85ebaa66ce1bfe4f71c7f7f579473df,"safes.sol,safe,27",10000000000000000000,6500000000000000000,0,3500000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x90C8dAFA75d0d91914d55FF8Ce273F9c1E7FA204,0,3000000,225983,0x8f088f920000000000000000000000000301aadd5ec7174f825a7ee9ea2ca7db59e761b5,0xaeeacfa82b920a09654d93cbbe4237ea9ad795d33ada0365a32ecb850b05c9e5,"safes.sol,safe,26",10000000000000000000,6500000000000000000,0,3500000000000000000
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x94EF0fd421dAc26EA5d9C06D3382C6c11638abC0,0,3000000,225983,0x8f088f9200000000000000000000000088fff9620868eccf08e1bd64f3d02548a8fedd26,0xc5674e3619b64e40c6f5884d8c0598afe92327a51cdc1944b44c97c6c766743c,"safes.sol,safe,29",30000000000000000000,6500000000000000000,0,3500000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0xEB2ce1d03a4c8aA283BB06ceA98BADe070B47dA1,0,3000000,84846,0x8f088f920000000000000000000000006ea7c7991ace1ca10c7701ab758f53399c90b661,0x68546ae29c40855fb2bb90f102322e05d2d5220d51e98845fefd63f085ae85ea,"vulnerables.sol,vul,28",30000000000000000000,30000000000000000000,0,0
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x5eD386ecDc321C4A3c460A923964ce2Bc6ab0EC8,0,3000000,130796,0x8f088f92000000000000000000000000c8052c9e3b32ed696cb847c0c49361ecbe50e6b4,0x2f95225accfbcbb5bd36c2fd09efd49a5cd38908e75aa1f8de3bd9fffc89933f,"vulnerables.sol,vul,31",30000000000000000000,30000000000000000000,0,0
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xec79181756DaeD1df9F32b0404fbdCAD4B0A070d,0,3000000,296927,0x8f088f92000000000000000000000000963948af839edfc63e56c19f27476e643728de8e,0x01793d351b950a00d0a7e71635b2cd970095d6cf6e1aac91e04cd1fe60ba7572,"vulnerables.sol,vul,30",,28000000000000000000,,2000000000000000000
