,tx_hash,gas_diff,input_size,victim_balance_delta,attacker_balance_delta,label
0,0xd10e648f1868834ffcd71427e7e04f81c85ebaa66ce1bfe4f71c7f7f579473df,2774017,74,-3500000000000000000,3.5e+18,27
1,0xaeeacfa82b920a09654d93cbbe4237ea9ad795d33ada0365a32ecb850b05c9e5,2774017,74,-3500000000000000000,3.5e+18,26
2,0xc5674e3619b64e40c6f5884d8c0598afe92327a51cdc1944b44c97c6c766743c,2774017,74,-23500000000000000000,3.5e+18,29
3,0x68546ae29c40855fb2bb90f102322e05d2d5220d51e98845fefd63f085ae85ea,2915154,74,0,0.0,28
4,0x2f95225accfbcbb5bd36c2fd09efd49a5cd38908e75aa1f8de3bd9fffc89933f,2869204,74,0,0.0,31
5,0x01793d351b950a00d0a7e71635b2cd970095d6cf6e1aac91e04cd1fe60ba7572,2703073,74,,,30
