,tx_hash,gas_diff,input_size,victim_balance_delta,attacker_balance_delta,label
0,0x12ab333e30983c6172add1dfb624fcaebb98542c0db514cee8eb72685d2fe859,2798705,74,-20000000000000000000,0,27
1,0x349dbe460338300f7070b6b2d8a5e0380e17a0dfa6630c5e099cd3490e9ce3f9,2516659,74,-27000000000000000000,27000000000000000000,26
2,0xb33975e504bf750d24a3d6546756e3349935a84db14276587a5e2313e124486b,2815704,74,20000000000000000000,0,29
3,0x76c3eb434dd8e11dc7db3685b0fef7f097dc90caa8af76e6efb80558783006e6,2798705,74,-20000000000000000000,0,28
4,0xd1e1ec1c3356e8c7f26d347052fac29d66b6974ac1961ac598aa721b820d72ec,2586463,74,5000000000000000000,15000000000000000000,31
5,0x4a82fcd8de1509049690aa40669f88e8d9bfc0f82f08f72b34931c92d2ef3423,2798705,74,,,30
