,tx_hash,gas_used,victim_balance_delta,attacker_balance_delta,call_stack_depth,label
61,0x7a457576f3897eead7b0ea19ff5e3f90f80e0259d711bd2cf2df69c2dcfa81bc,390539,-4000000000000000000,4000000000000000000,6.316796368352788,vul
62,0x3cc6681ee5c31098ca30ef8c5735b958a0780a4ea9af1ee009de0729fa378017,201295,0,0,10.18176120338452,safe
63,0x51d229a75d21a0f957c56885bd0f4146b772571a9fd15484a288c7b968edc45c,547037,-25000000000000000000,25000000000000000000,6.316796368352788,vul
64,0x90a75224ca25aaaa3ce4760baf7893b308b752576d3b4bb9766244cdbd4d6fbb,199205,-4500000000000000000,4500000000000000000,6.316796368352788,safe
65,0x364fd41600e2d055defdb3fa74869fe025f1a9d0a199f141fd5407d31f70269c,201295,0,0,5.727010457987739,safe
66,0xc6b14ea2fac8d08fc019bbf43bafd2e54053079aa8d82601e4a6e90a78e35afd,199205,-4500000000000000000,4500000000000000000,8.17643352236925,safe
67,0x8e8e39db7277ef3aa389d8e779107f61c80169cb181d11ddd9a47195fa20811e,570035,-36000000000000000000,36000000000000000000,5.727010457987739,vul
68,0xb7b97b9b79f61ac575e342898e9b349c9560fdfb3c433de286802f8d24dac8b6,483341,-27000000000000000000,27000000000000000000,5.279424216765453,vul
69,0xaaf1e1af10fd2be0f5d956e1ce1c4f6135b565ce33b1467e5abb4019deaf822c,221896,-5000000000000000000,5000000000000000000,6.194048104362006,vul
70,0x58707fd3d1375155c81cec63d834c014e0e94734a6266c22000a14649d67b56e,613787,-30000000000000000000,30000000000000000000,5.279424216765453,vul
71,0xcc062436e4e660ecb614dd10c432ed21987edf375630700dd082c97c8c2041b8,221896,-15000000000000000000,15000000000000000000,12.175475687103594,vul
72,0x127da8b918533cfae5ca88c338501e868f01aaf597eaaf33e874f9afcf9101b3,162546,-6000000000000000000,6000000000000000000,10.172734970364099,vul
73,0xd69fbe8963b64b7d6ff0bb93f88a06440c4b5151e8362521d509d9f9d58cacc1,601883,-35000000000000000000,35000000000000000000,3.293421052631579,vul
74,0xc656f97b1cd913de7624b059ff29932c7d55cd001971e67f7a713516c96eb54b,201295,0,0,2.393879565646594,safe
75,0x5395da3cc59f05d7187ad3b4308f070847ae44fea82cb41f0e9c3a642b93b72d,144369,0,0,6.316796368352788,safe
76,0x473fa04ffabe44b21c039de09bc58617d9e6847360f1e158db633c352e4cf700,144369,0,0,6.316796368352788,safe
77,0xabd3ef117b0e232c68b85ac2fc5c273ecb7a3e0fcd1483e1cca63245168e18b0,201295,0,0,2.393879565646594,safe
78,0xeee74d834802f8a7efd5a789ba4e2852a363f69c6060b375a4b1c5103abab5a1,213968,0,0,2.393879565646594,safe
79,0xcfc0edf4b4655b08c36a2a1f83d3a569b88e8b25da74d83f6059c6456a1e2d6c,144369,0,0,7.333240920432492,safe
80,0x3de8d48c1823496608ba550a02361ed831eb6b43658cac7bc58c99d7728b749b,144369,0,0,8.213649851632047,safe
81,0x13e2194d70e3730616f171bdbf2da22968af0c13e38feae600d5b5d45e24bc5f,390539,-4000000000000000000,4000000000000000000,2.393879565646594,vul
82,0x1761a8091a68643d7bd3726c51e3bfeec6e4721d7024fa6dad09780669b7062f,313412,-7500000000000000000,7500000000000000000,3.293421052631579,vul
83,0xdd6bf8a365dc89caaae49acad4317d1826824e044c78f4a225cf983681a3c90f,181746,-6000000000000000000,6000000000000000000,3.2563872702823846,vul
84,0xc76f1202100ae88512e074e6ab91401393e093f181c9b0630daea89043647053,157546,0,0,2.393879565646594,vul
85,0xa50eb66ca956b0a209bc6caca2d843cd86501f7bbd0d03517b7f71c12046075b,144369,0,0,7.272784019975031,safe
86,0x980ad56c4040328e4b46dd719c0728fade8d3a3e827d8f121c3a42315d42429c,213968,0,0,3.293421052631579,safe
