,tx_hash,gas_used,victim_balance_delta,attacker_balance_delta,label
48,0xf29d96dcfad983570505ddde05b3010c63af41651d8b379e8b9561a26651b419,548957,72000000000000000000,18000000000000000000,vul
49,0xb9ef928307d8a5f581a8f735543e2fb2c9d51a6a1cc70832cef3b47a1f6c61c1,201295,0,0,safe
50,0xe256df864e09483344e3705fbdec29a9e540e134a0c53c724ea509713eef893b,225983,-94500000000000000000,4500000000000000000,safe
51,0xcb103d166d4bc2ec72d2e07436efb38906f84cc638c98e84697f43d1a27bf5b4,601883,55000000000000000000,35000000000000000000,vul
52,0xec97e33d239c57120502bc9b74707db40cf7b1ee4bf214e9e93508b90dc93999,201295,0,0,safe
53,0x7740d9115e95b5fba76cc8bf565767429c1641d9c9d571584d7fe2e4f63224e3,225983,-94500000000000000000,4500000000000000000,safe
54,0xb228297315198ff903383abe7dd8af59cebccbf40894795073f7aa5e2bc737d9,343733,-3000000000000000000,3000000000000000000,vul
55,0x352ca0fea2f24ab8f209bdaf5f5536ae6321d88de8640214ea111e3818ea5194,346787,80000000000000000000,10000000000000000000,vul
56,0x80cc24d1cc1a21d2938a58588071a22a0e9b0e5ec8f2e87ec7824419dc187b30,201295,-90000000000000000000,0,safe
57,0x34bfbfe568905cfafdfeb332c7266d8ef4917ee60f9f056c60f75f29cb096bc8,221896,-20000000000000000000,20000000000000000000,vul
58,0xce3a5693ed897d5fa6791b9a994863446b6afaac55192a386aeb2e5a2f67cf9b,221896,,,vul
59,0x6837ed661753ee6ee044ad0a5ef7fae1de4cbbdb1b6d919ccc7a3447a07cbc8c,321857,84000000000000000000,6000000000000000000,vul
60,0x0557b8f3d584a3909aa17a30ed824e3f18b96a61931e2fdcdda59907cc9c06c6,225983,-1500000000000000000,1500000000000000000,safe
61,0x2228908479ef84c7775f5b62e89d32a85aff0b54d623b960dd2d510e59444bba,201295,0,0,safe
62,0x40b881cb04715b6197cf071ac27a839cb520907dd89b2f7cabe11a3f6ce955c7,225983,-1500000000000000000,1500000000000000000,safe
63,0x6794573917625867d0d2e90cc232c703c1c7b474bae3ed97062fd52dce3fa711,225983,-1500000000000000000,1500000000000000000,safe
64,0x178c39fc3e9d39d946fd5df6bb1e1c27cd2489a23e477f186e2369bf510eb89c,225983,-91500000000000000000,1500000000000000000,safe
65,0xf48f15b476e32615b0128924adf6b05ada2fe0ab780e52330e13adb3ca5908da,448439,69000000000000000000,21000000000000000000,vul
66,0xfe249670a7dacfeca59633551a610bc0ad600a7023d24c464c67548677d2b8a9,225971,-4500000000000000000,4500000000000000000,safe
67,0x136cb83df4dff31eed22b7818ae0d995af87fb8837616fc95fb417e7550b8051,225983,-91500000000000000000,1500000000000000000,safe
68,0x5bfc1a9985707b68fb07abe11f4a37592cf8c8f8c9e5e69a2f7098f1ca7207e4,382496,-39000000000000000000,39000000000000000000,vul
69,0x9dbcf89fb3fef6d5bd17906023b6e322593b373e2695a78888b4a2c15904bc3a,448439,-21000000000000000000,21000000000000000000,vul
70,0x71c43aed7bf3398b71ce8249975300f257567979d94c8ca72b771fe894a42597,130784,,,vul
71,0xfc7adedc46ed0d4ddd219b03c5c5b1528bfed287a45880ecdab31c8e5d3e5fb7,130796,90000000000000000000,0,vul
72,0x43c2677fc7ec58584c93cfe08ea3867a903e2dda259491822c00d69dd335c4f3,225983,-4500000000000000000,4500000000000000000,safe
73,0xc6d863659bee168ae5766d55fcaeee009d95760e5461acbf35b646181abe76e0,225971,-94500000000000000000,4500000000000000000,safe
74,0xba73a0ccc38d4cc24558e4396ce36b1505b251ffd582c00824036c6582bb7a61,221896,70000000000000000000,20000000000000000000,vul
75,0x19f9fd7fccb0e0324e3b343353c6a20f36fa935e1cb1ea756c35ac41db5da2ad,225983,-94500000000000000000,4500000000000000000,safe
76,0x44032c37fb32449dc805a9a02ec7c02bb3ebed0c6cebeb93b349e519e0722608,221896,70000000000000000000,20000000000000000000,vul
77,0xac3e2d9fb2c6f8f741bd6f261f16e422ef099a2276f3231dae720f405ec57797,225983,-94500000000000000000,4500000000000000000,safe
78,0x58c1ecb49e0304c2f11e015b2fd7eaf4511046ecbbcb6f13402244a5a2b1c6e6,302196,-18000000000000000000,18000000000000000000,vul
79,0x092558fb39ab9a4dee1672bf02f7634d467174d6ebbbbe0f9007496c37a47021,333356,,,vul
